,massa_A
t,x,y
3.746977E-1,4.434228E-1,5.799626E-2
3.917294E-1,4.384244E-1,6.009355E-2
4.087611E-1,4.241520E-1,7.946054E-2
4.257928E-1,4.091265E-1,1.139408E-1
4.428245E-1,4.032686E-1,1.548109E-1
4.598563E-1,4.104268E-1,1.914358E-1
4.768880E-1,4.110262E-1,2.271640E-1
4.939197E-1,4.009822E-1,2.585406E-1
5.109514E-1,3.818044E-1,2.855402E-1
5.279831E-1,3.590702E-1,3.105861E-1
5.450148E-1,3.337778E-1,3.331581E-1
5.620465E-1,3.054577E-1,3.552776E-1
5.790782E-1,2.800639E-1,3.718110E-1
5.961100E-1,2.601465E-1,3.847291E-1
6.131417E-1,2.376369E-1,3.931605E-1
6.301734E-1,2.150767E-1,3.985725E-1
6.472051E-1,1.924743E-1,4.014686E-1
6.642368E-1,1.698381E-1,4.023517E-1
6.812685E-1,1.471344E-1,3.992092E-1
6.983002E-1,1.258981E-1,3.935252E-1
7.153319E-1,1.025729E-1,3.833461E-1
7.323637E-1,8.123529E-2,3.716236E-1
7.493954E-1,6.181765E-2,3.543319E-1
7.664271E-1,4.337266E-2,3.350105E-1
7.834588E-1,2.534645E-2,3.106485E-1
8.004905E-1,7.781243E-3,2.837621E-1
8.175222E-1,-4.777156E-3,2.552815E-1
8.345539E-1,-1.591034E-2,2.217435E-1
8.515857E-1,-2.103029E-2,1.865945E-1
8.686174E-1,-2.271218E-2,1.463542E-1
8.856491E-1,-1.788605E-2,1.039914E-1
9.026808E-1,-1.103862E-2,6.209796E-2
9.197125E-1,1.673440E-3,3.973702E-2
9.367442E-1,1.023652E-2,4.009670E-2

